name,location,rating,votes,cost_for_two,online_order,book_table,rest_type,primary_cuisine,price_range
Jalsa,Banashankari,4.1,775,800.0,Yes,Yes,Casual Dining,North Indian,Luxury
Spice Elephant,Banashankari,4.1,787,800.0,Yes,No,Casual Dining,Chinese,Luxury
San Churro Cafe,Banashankari,3.8,918,800.0,Yes,No,"Cafe, Casual Dining",Cafe,Luxury
Addhuri Udupi Bhojana,Banashankari,3.7,88,300.0,No,No,Quick Bites,South Indian,Budget
Grand Village,Basavanagudi,3.8,166,600.0,No,No,Casual Dining,North Indian,High-End
Timepass Dinner,Basavanagudi,3.8,286,600.0,Yes,No,Casual Dining,North Indian,High-End
Rosewood International Hotel - Bar & Restaurant,Mysore Road,3.6,8,800.0,No,No,Casual Dining,North Indian,Luxury
Onesta,Banashankari,4.6,2556,600.0,Yes,Yes,"Casual Dining, Cafe",Pizza,High-End
Penthouse Cafe,Banashankari,4.0,324,700.0,Yes,No,Cafe,Cafe,Luxury
Smacznego,Banashankari,4.2,504,550.0,Yes,No,Cafe,Cafe,High-End
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Banashankari,4.1,402,500.0,Yes,No,Cafe,Cafe,High-End
Cafe Shuffle,Banashankari,4.2,150,600.0,Yes,Yes,Cafe,Cafe,High-End
The Coffee Shack,Banashankari,4.2,164,500.0,Yes,Yes,Cafe,Cafe,High-End
Caf-Eleven,Banashankari,4.0,424,450.0,No,No,Cafe,Cafe,High-End
San Churro Cafe,Banashankari,3.8,918,800.0,Yes,No,"Cafe, Casual Dining",Cafe,Luxury
Cafe Vivacity,Banashankari,3.8,90,650.0,Yes,No,Cafe,Cafe,High-End
Catch-up-ino,Banashankari,3.9,133,800.0,Yes,No,Cafe,Cafe,Luxury
Kirthi's Biryani,Banashankari,3.8,144,700.0,Yes,No,Cafe,Chinese,Luxury
T3H Cafe,Banashankari,3.9,93,300.0,No,No,Cafe,Cafe,Budget
360 Atoms Restaurant And Cafe,Banashankari,3.1,13,400.0,Yes,No,Cafe,Cafe,Medium
The Vintage Cafe,Banashankari,3.0,62,400.0,Yes,No,Cafe,Cafe,Medium
Woodee Pizza,Banashankari,3.7,180,500.0,Yes,No,Cafe,Cafe,High-End
Cafe Coffee Day,Banashankari,3.6,28,900.0,No,No,Cafe,Cafe,Luxury
My Tea House,Banashankari,3.6,62,600.0,Yes,No,"Quick Bites, Cafe",Italian,High-End
Hide Out Cafe,Banashankari,3.7,31,300.0,No,No,Cafe,Cafe,Budget
CAFE NOVA,Banashankari,3.2,11,600.0,No,No,Cafe,Cafe,High-End
Coffee Tindi,Banashankari,3.8,75,200.0,Yes,No,"Cafe, Quick Bites",Cafe,Budget
Sea Green Cafe,Banashankari,3.3,4,500.0,No,No,Cafe,Cafe,High-End
Cuppa,Banashankari,3.3,23,550.0,No,No,Cafe,Cafe,High-End
Srinathji's Cafe,Basavanagudi,3.8,148,550.0,No,No,"Casual Dining, Cafe",North Indian,High-End
Redberrys,Basavanagudi,4.0,219,600.0,Yes,No,Cafe,Cafe,High-End
Foodiction,Banashankari,2.8,506,500.0,Yes,No,Quick Bites,North Indian,High-End
Sweet Truth,Banashankari,3.9,35,500.0,Yes,No,Delivery,Bakery,High-End
Ovenstory Pizza,Banashankari,3.9,172,750.0,Yes,No,Delivery,Pizza,Luxury
Faasos,Banashankari,4.2,415,500.0,Yes,No,Quick Bites,North Indian,High-End
Behrouz Biryani,Banashankari,3.9,230,650.0,Yes,No,Delivery,Biryani,High-End
Fast And Fresh,Banashankari,2.8,91,400.0,Yes,No,Quick Bites,North Indian,Medium
Szechuan Dragon,Banashankari,4.2,1647,600.0,Yes,No,Casual Dining,Chinese,High-End
Empire Restaurant,Jayanagar,4.4,4884,750.0,Yes,No,Casual Dining,North Indian,Luxury
Maruthi Davangere Benne Dosa,Banashankari,4.0,17,150.0,Yes,No,Quick Bites,South Indian,Budget
Chaatimes,Basavanagudi,3.8,133,200.0,Yes,No,Quick Bites,Street Food,Budget
Havyaka Mess,Banashankari,3.9,28,300.0,No,No,Mess,South Indian,Budget
McDonald's,Banashankari,3.9,286,500.0,Yes,No,Quick Bites,Burger,High-End
Domino's Pizza,Banashankari,3.9,540,800.0,Yes,No,Quick Bites,Pizza,Luxury
Onesta,Banashankari,4.6,2556,600.0,Yes,Yes,"Casual Dining, Cafe",Pizza,High-End
Hotboxit,Banashankari,3.8,36,400.0,No,No,Delivery,North Indian,Medium
Kitchen Garden,Kumaraswamy Layout,3.6,244,300.0,Yes,No,Quick Bites,North Indian,Budget
Recipe,Kumaraswamy Layout,4.0,804,450.0,Yes,No,Casual Dining,North Indian,High-End
Beijing Bites,Rajarajeshwari Nagar,3.7,679,850.0,Yes,No,Casual Dining,Chinese,Luxury
Tasty Bytes,Kumaraswamy Layout,3.1,245,300.0,Yes,No,Quick Bites,North Indian,Budget
Petoo,Banashankari,3.7,21,450.0,No,No,Quick Bites,North Indian,High-End
Shree Cool Point,Vijay Nagar,4.1,28,150.0,Yes,No,Quick Bites,Fast Food,Budget
Corner House Ice Cream,Banashankari,4.3,345,400.0,No,No,Dessert Parlor,Ice Cream,Medium
Biryanis And More,Jayanagar,4.0,618,750.0,Yes,No,Casual Dining,Biryani,Luxury
Roving Feast,Banashankari,4.0,1047,450.0,No,No,Quick Bites,Italian,High-End
